Abbreviation,Full Form,Category,Context
RTF,"Ready To Fill",Workflow,"Used to indicate a prescription that has been processed and is ready for dispensing"
RTPB,"Real-Time Prescription Benefit",System,"Electronic system that delivers patient-specific benefit and cost information"
RTBF,"Real-Time Benefit Format",System,"Format for delivering patient benefits information"
DAW,"Dispense As Written",Prescription,"Indicates that the exact pharmaceutical product should be dispensed with no substitution"
NP,"New Prescription",Workflow,"Indicates a new prescription that has been received"
TP,"Transfer Prescription",Workflow,"Indicates a prescription transferred from another pharmacy"
QP,"Queued Prescription",Workflow,"Prescription is in queue waiting to be filled"
QS,"Quantity Sufficient",Compounding,"Sufficient quantity to make the desired preparation"
MD,"Medical Doctor",Provider,"Healthcare provider with a Doctor of Medicine degree"
DO,"Doctor of Osteopathy",Provider,"Healthcare provider with a Doctor of Osteopathic Medicine degree"
PA,"Prior Authorization",Insurance,"Approval required from insurance before medication can be dispensed"
OTC,"Over The Counter",Classification,"Medication available without a prescription"
SOD,"Scheduled On Delivery",Workflow,"Prescription scheduled to be filled upon arrival"
RTS,"Return To Stock",Workflow,"Medication not picked up and returned to pharmacy inventory"
NDC,"National Drug Code",Identification,"Unique identifier for human drugs in the United States"
NKDA,"No Known Drug Allergies","Patient Info","Patient does not have any known allergies to medications"
NKA,"No Known Allergies","Patient Info","Patient does not have any known allergies"
DOB,"Date of Birth","Patient Info","Patient's birth date"
COB,"Coordination of Benefits",Insurance,"Process to determine primary insurance when patient has multiple coverage"
POC,"Point of Care",Service,"Care provided at time and place of patient encounter"
po,"by mouth (per os)",Route,"Indicates oral administration"
bid,"twice a day (bis in die)",Frequency,"Take medication two times per day"
tid,"three times a day (ter in die)",Frequency,"Take medication three times per day"
qid,"four times a day (quater in die)",Frequency,"Take medication four times per day"
qd,"once daily (quaque die)",Frequency,"Take medication once per day"
qod,"every other day (quaque altera die)",Frequency,"Take medication every second day"
prn,"as needed (pro re nata)",Frequency,"Take medication only when needed"
hs,"at bedtime (hora somni)",Timing,"Take medication before sleep"
ac,"before meals (ante cibum)",Timing,"Take medication before eating"
pc,"after meals (post cibum)",Timing,"Take medication after eating"
